business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
"JiangSu JOBA Mechanical Manufacture Co., Ltd.",//jub888.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Hydraulic Jack,Hydraulic Bolt Tensioner View as:,Hydraulic Wrench,Hydraulic puller,Hydraulic pump",//jub888.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen VMT Metal Product Co., Ltd.",//vmt.en.alibaba.com/contactinfo.html,Supplier,8,"Mechanical Parts Fabrication,CNC Machining Parts,Automotive Performance Parts",//vmt.en.alibaba.com/company_profile.html#top-nav-bar
"Ronix (Zhangjiagang Bonded Area) Trading Co., Ltd.",//ronix-powertools.en.alibaba.com/contactinfo.html,Supplier,2,"Power Tools,Massage Tools,Cordless Screwdriver Drill,Garden Tools,Garage Tools",//ronix-powertools.en.alibaba.com/company_profile.html#top-nav-bar
ACE SANGYOKIKI INC.,//acesangyokiki.trustpass.alibaba.com/contactinfo.html,Gold Supplier,2,"Measuring equipment,Cutting tools,Electric tool,Work tools,Pneumatic device",//acesangyokiki.trustpass.alibaba.com/company_profile.html#top-nav-bar
"Jiangsu Universal Industrial Co., Ltd.",//tolsentools.en.alibaba.com/contactinfo.html,Supplier,8,"Insulated Tools,Holding Tools,Mechanics Tools,Fastening Tools,Power Tools",//tolsentools.en.alibaba.com/company_profile.html#top-nav-bar
FORMOSAN UNITED CORPORATION,//fuco.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Hardware,Hand Tools,Tiling Tools,Plumbing Tools,Garden Tools",//fuco.en.alibaba.com/company_profile.html#top-nav-bar
"Cangzhou Shengshi Weiye Automobile Accessory Co., Ltd.",//ssqcpj.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Wheel Weights,Tire Valves,Vacuum Tire Removal Tools,Air Tank",//ssqcpj.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai Shigan Industrial Co., Ltd.",//shigan.en.alibaba.com/contactinfo.html,Supplier,3,"Check Weight Machine,Packaging Machine",//shigan.en.alibaba.com/company_profile.html#top-nav-bar
"LONG JER PRECISE INDUSTRY CO., LTD.",//longjertools.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Special Hand Tools,Measuring Tools,Power Tools,Cutting Tools,Customize Tools",//longjertools.en.alibaba.com/company_profile.html#top-nav-bar
HAIZHU INTERNATIONAL LTD,//haizhuintl.trustpass.alibaba.com/contactinfo.html,Gold Supplier,5,"Meical science,Medical training,Medical instruments,dental instruments,CPR manikin",//haizhuintl.trustpass.alibaba.com/company_profile.html#top-nav-bar
"Yongkang Leeyu Import And Export Co., Ltd.",//cnleeyu.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Gasoline Chainsaw,Brush Cutter,Garden tools sapre parts,Power tools,Garden tools spare parts",//cnleeyu.en.alibaba.com/company_profile.html#top-nav-bar
"Jiaxing Pink Electronic Technology Co., Ltd.",//pink.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Electric Tool,Auto Tool,Garden Tool,Sports Tool,Houseware Tool",//pink.en.alibaba.com/company_profile.html#top-nav-bar
"Linyi Zhongsen Safety Products Co., Ltd.",//lyzhongsen.en.alibaba.com/contactinfo.html,Gold Supplier,6,"safety vests,safety gloves,industrial hardware tools",//lyzhongsen.en.alibaba.com/company_profile.html#top-nav-bar
"Taian Beacon Machine Manufacturing Co., Ltd.",//beaconmachine.en.alibaba.com/contactinfo.html,Gold Supplier,5,"diesel test bench,common rail test bench,diesel parts,diesel tools,balance macine",//beaconmachine.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai Ruibiao Construction Machinery Co., Ltd.",//ruibiaojidian.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Tralied Scissor Lift,Self Propelled Scissor Lift,Alumium Alloy Man Lift,Suspended Platform,Scaffolding Parts",//ruibiaojidian.en.alibaba.com/company_profile.html#top-nav-bar
"Yato Tools (Shanghai) Co., Ltd.",//yatohandtools.en.alibaba.com/contactinfo.html,Gold Supplier,1,"HAND TOOL,POWER TOOL,ELECTRIC TOOL,GARDEN TOOL,SAFETY TOOL",//yatohandtools.en.alibaba.com/company_profile.html#top-nav-bar
"Ningguo City Greatsun Tools Co., Ltd.",//greatsuntools.en.alibaba.com/contactinfo.html,Gold Supplier,1,Screwdriver/wrench/socket/pliers/knife/saw/measure tape/level/callipers/range finder/F clamp/G clamp/locking pliers/sucker/files/sand paper/grinding head/center punch/thread die/hammer/stone chisel/stamp/arbor press/crow&amp;wrecking bar/electrode holder/earth ...,//greatsuntools.en.alibaba.com/company_profile.html#top-nav-bar
"Shaoxing Huanxin Imp. & Exp. Co., Ltd.",//sxautorefinish.en.alibaba.com/contactinfo.html,Supplier,9,Car Refinish Product,//sxautorefinish.en.alibaba.com/company_profile.html#top-nav-bar
Suzhou Matthew Consultation Ltd.,//matthewtool.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Woodworking clamps,Caulking Guns,Garden Tools,Drill Bits,Plier",//matthewtool.en.alibaba.com/company_profile.html#top-nav-bar
"Jinhua Jusen Garden Machinery Co., Ltd.",//zjnewglory.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Chain Saw,Brush Cutter,Earth Auger,Gasoline Tiller,Hedge Trimmer",//zjnewglory.en.alibaba.com/company_profile.html#top-nav-bar
"Landing Tools (Shanghai) Co., Ltd.",//landingtools.en.alibaba.com/contactinfo.html,Supplier,5,"Hand Tools,Power Tools,Garden Tools,Power Tools Accessories",//landingtools.en.alibaba.com/company_profile.html#top-nav-bar
"Jiangyin Baote Metal Material Co., Ltd.",//jybaote.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Stainless steel precision casting,Silica sol casting,Fine cast steel products,FRP GRATING,Glass reinforced plastic cover plate",//jybaote.en.alibaba.com/company_profile.html#top-nav-bar
"Pujiang Qinglong Industry And Trade Co., Ltd.",//sanjianglove.en.alibaba.com/contactinfo.html,Gold Supplier,2,Gloves,//sanjianglove.en.alibaba.com/company_profile.html#top-nav-bar
"Kraftwelle (Hangzhou) Industry Co., Ltd.",//kraftwelle.en.alibaba.com/contactinfo.html,Gold Supplier,2,Tools Sets,//kraftwelle.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai Jundu Tools Co., Ltd.",//jb-tech.en.alibaba.com/contactinfo.html,Gold Supplier,14,"tool set,hand tool,plumbing tool",//jb-tech.en.alibaba.com/company_profile.html#top-nav-bar
"Yiwu Leatron Import And Export Co., Ltd.",//ywleatron.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Wrench,Pliers,Hammer,Drill Bit,Tool set",//ywleatron.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Hobbywin Technology Co., Ltd.",//hobbywin.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Toy Hobby,Home Garden,Lipo Battery,Outdoor,Electronic",//hobbywin.en.alibaba.com/company_profile.html#top-nav-bar
Sichuan Machinery Imp. & Exp. Corp.,//t-union.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Cutting Tools,Machine Accessories,Garden and Outdoor,Measuring Tools,Small Machine",//t-union.en.alibaba.com/company_profile.html#top-nav-bar
"Yangzhou Chongxin Trading Co., Ltd.",//cncxsm.en.alibaba.com/contactinfo.html,Supplier,1,Scaffold Products,//cncxsm.en.alibaba.com/company_profile.html#top-nav-bar
"Zhangjiagang Gangxin Hardware Tools Co., Ltd.",//gangxintools.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Long nose Plier,Combination Plier,Diagonal Cutting Plier,Mini Plier,Wire Stripper plier",//gangxintools.en.alibaba.com/company_profile.html#top-nav-bar
"Henan Sunrise Import and Export Co., Ltd.",//sunrisetools.en.alibaba.com/contactinfo.html,Gold Supplier,1,"steel tape mesure,fiberglass tape measure,screwdriver,utility knife,hand tools",//sunrisetools.en.alibaba.com/company_profile.html#top-nav-bar
NIKKO KIZAI INC.,//nikkokizai.trustpass.alibaba.com/contactinfo.html,Gold Supplier,7,"Endmill,Original endmills,Measuring equipment,Machine tools,Polishing equipment",//nikkokizai.trustpass.alibaba.com/company_profile.html#top-nav-bar
"Shandong Latis Machinery Equipment Co., Ltd",//latisbrewing.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Stainless steel products,Brass products,Plastic products,OEM Service,Import and export",//latisbrewing.en.alibaba.com/company_profile.html#top-nav-bar
"Yiwu Wellin Trade Co., Ltd.",//wellintools.en.alibaba.com/contactinfo.html,Gold Supplier,1,"hardware tools,tape measure,utility knife,screwdriver,pliers",//wellintools.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen ZCKJ Electronic Technology Co., Ltd.",//agoal.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Arduino Kit,uno kit,Components kit,Module Board,Sensor Kit",//agoal.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai Hengwang Machinery Equipment Co., Ltd.",//shhengwang.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Drilling rig,loader,Pile driver,Supporting Equiment,Railway Equipment",//shhengwang.en.alibaba.com/company_profile.html#top-nav-bar
"Taizhou Xue Chen Auto Parts Co., Ltd.",//tzxuechen.en.alibaba.com/contactinfo.html,Gold Supplier,2,"CNC throttle body,Aluminum customized products",//tzxuechen.en.alibaba.com/company_profile.html#top-nav-bar
"Suzhou Fadai Communication Technology Co., Ltd.",//szfdtx.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Communication Cables,Consumer Electronics,Mobile Charging Cables,Connectors,CAT 6 RJ 45 Connectors",//szfdtx.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou Ya'an E-Business Co., Ltd.",//hi-spec.en.alibaba.com/contactinfo.html,Supplier,1,"Hand Tools,Power Tools,Garden Tools",//hi-spec.en.alibaba.com/company_profile.html#top-nav-bar
"Yueqing Shicheng Power Technology Co., Ltd.",//yqshicheng.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Hand Tools,Garden Tools,Power Tool Accessory,Paint and Spray Tools,Safety and Security",//yqshicheng.en.alibaba.com/company_profile.html#top-nav-bar
"Quanzhou Polin Hardware & Tools Co., Ltd.",//qzpolin.en.alibaba.com/contactinfo.html,Gold Supplier,1,"hand tools,power tools,gardening tools,construction tools,tool sets",//qzpolin.en.alibaba.com/company_profile.html#top-nav-bar
"Ningbo Vollplus Power Tools Co., Ltd.",//vollplus.en.alibaba.com/contactinfo.html,Supplier,3,"Power Tools,Garden Tools,Labor Insurance Supplies,Hand Tools",//vollplus.en.alibaba.com/company_profile.html#top-nav-bar
"Hebei Cloud Import And Export Co., Ltd.",//cloudtrade.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Auto parts and maintenance equipment,construction machinery equipments,instrumetation,Ductile steel part,Manhole cover grating",//cloudtrade.en.alibaba.com/company_profile.html#top-nav-bar
"Jiaxing Grandfast Imp. & Exp. Trade Co., Ltd.",//grandfast.en.alibaba.com/contactinfo.html,Gold Supplier,4,"HARDWARE,FASTENERS,TOOLS,CONSTRUCTION MATERIAL,SAFETY PRODUCT",//grandfast.en.alibaba.com/company_profile.html#top-nav-bar
"Taifung Metal CO,.LTD.",//shandongguantong.en.alibaba.com/contactinfo.html,Gold Supplier,1,adjustable wrench,//shandongguantong.en.alibaba.com/company_profile.html#top-nav-bar
"Hebei Ansheng Safety Tools Co., Ltd.",//hebeiansheng.en.alibaba.com/contactinfo.html,Gold Supplier,1,"non sparking tools,safety tools,explosion-proof tools",//hebeiansheng.en.alibaba.com/company_profile.html#top-nav-bar
"Shandong Newsmeng Building Materials Co., Ltd.",//newsmeng.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Claw Hammer,Axe,Sledge Hammer,Stoning Hammer,Rubber Hammer",//newsmeng.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou Linan New Sonic Material Tech Co., Ltd.",//nsgroup.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Oilless Bearing,Bushing,Bearing,Machinery Parts,Fine Parts",//nsgroup.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Focalvalue Technology Co., Ltd.",//focalvalue.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Bluetooth Speaker,HDMI Cable,HDMI Adatper,Best Sellers,Gopro Accessories",//focalvalue.en.alibaba.com/company_profile.html#top-nav-bar
Haiyan Weida Hardware Tool Factory,//weidatools.en.alibaba.com/contactinfo.html,Gold Supplier,3,"TOWING HOOK,JACK ROD,AUTO TOOLS,HAND TOOLS,TOOL SET",//weidatools.en.alibaba.com/company_profile.html#top-nav-bar
"HANDY TWINS INTERNATIONAL CO., LTD.",//handytwins.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Screwdrivers,Wrenches,Tool Sets,Auto Tools,Sockets",//handytwins.en.alibaba.com/company_profile.html#top-nav-bar
"Shandong Dongping Jiuxin Hardware Tools Co., Ltd.",//jiuxintool.en.alibaba.com/contactinfo.html,Supplier,1,"Wrench,Sleeve,Tool Set,Electric Tool",//jiuxintool.en.alibaba.com/company_profile.html#top-nav-bar
"Beijing Oriens Technology Co., Ltd.",//oriens.en.alibaba.com/contactinfo.html,Gold Supplier,6,"metal stamping,toggle latch,casting,clamp,crate clip",//oriens.en.alibaba.com/company_profile.html#top-nav-bar
"Linyi Qiangsheng Tools Co., Ltd.",//qiangshengscaffold.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Adjustable Wrenches,Scaffolding and Accessories (Only for Oversea)",//qiangshengscaffold.en.alibaba.com/company_profile.html#top-nav-bar
"Xinjiang Beichenxing International Trade Co., Ltd.",//beichenstar.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Hand Tools,Electrical Tools,Set of tools,Spraying equipment,Power tool accessories",//beichenstar.en.alibaba.com/company_profile.html#top-nav-bar
Yiwu Xinrui Hardware Ltd.,//xinruihdtools.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Paint Brush,Paint Roller,Cable Ties,Adhesive Tape,Cutter Knife",//xinruihdtools.en.alibaba.com/company_profile.html#top-nav-bar
"Ningbo Ruijin Marine Materials Co., Ltd.",//ruijinmarine.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Pneumatic jet chisel,Pneumatic vaccum cleaner,Pneumatic pump,packing hook set,Wruinger mop bucket",//ruijinmarine.en.alibaba.com/company_profile.html#top-nav-bar
"Yiwu Tucheng Outdoor Products Co., Ltd.",//yiwutucheng.en.alibaba.com/contactinfo.html,Gold Supplier,2,"wpc wall panel,wpc ceiling panel,adjustable feet,plastic pipe plug,spanner",//yiwutucheng.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Pingwen Plastic Hardware Co., Ltd.",//pingwen.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Automobile Related,Hand Tools,Metalworking Machinery,Consumer Electronics,Gardening Items",//pingwen.en.alibaba.com/company_profile.html#top-nav-bar
"HANDY-AGE INDUSTRIAL CO., LTD.",//handyage.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Plier,Hammer,Tools Sets,Garden Tools,Cutting Tools",//handyage.en.alibaba.com/company_profile.html#top-nav-bar
"Hangzhou UCARE Technology Co., Ltd.",//ucaregroup.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Creative Home,Outdoor,Office Supply,Novelty Toys",//ucaregroup.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Wtyd Technology Limited,//outdooor.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Hammer,Axe,Adjustable wrench,hand tools,hardware prodcuts",//outdooor.en.alibaba.com/company_profile.html#top-nav-bar
"Linyi Weiye Tools Co., Ltd.",//weiyetools.en.alibaba.com/contactinfo.html,Gold Supplier,13,"industrial torque wrench,mini torque wrench,torque tester,double size ratchet wrench,ratchet wrench",//weiyetools.en.alibaba.com/company_profile.html#top-nav-bar
"TORQUE-TECH PRECISION CO., LTD",//tw-tech.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Safety tools,Non sparking tools,antimagnetic tools,special steel tools,striking wrench",//tw-tech.en.alibaba.com/company_profile.html#top-nav-bar
"Cangzhou Dean Safety & Special Type Tools Producing Co., Ltd.",//czdean.en.alibaba.com/contactinfo.html,Gold Supplier,12,"Life Saving,Fire Fighting,Anti Corrosion,Safety Tools,Marine Stores",//czdean.en.alibaba.com/company_profile.html#top-nav-bar
Rms Marine Service Company Ltd.,//rmsmarine.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Metals, tools, door frames and fittings, and all types of nets",//rmsmarine.en.alibaba.com/company_profile.html#top-nav-bar
East Grace Corporation,//zhukeqiang.en.alibaba.com/contactinfo.html,Gold Supplier,15,"Hand tools,Air tools,Machining tools,Power tools,Hydraulic tools",//zhukeqiang.en.alibaba.com/company_profile.html#top-nav-bar
"Qingdao Kinley Mach-Tech Co., Ltd.",//favourtool.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Auto Tools,Motorcycle Tools,Accessories,Power Tools,Garden Tools",//favourtool.en.alibaba.com/company_profile.html#top-nav-bar
"Qingdao Smart Industrial Co., Ltd.",//smarttools.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Packing machines,filling machines,feeding machines,metal detector",//smarttools.en.alibaba.com/company_profile.html#top-nav-bar
Ningbo Inbest Homeware Limited,//inbestchina.en.alibaba.com/contactinfo.html,Gold Supplier,3,"PET PRODUCTS,ORGANIZER,CHILD PRODUCTS,TOOLS,ACCESSORIES",//inbestchina.en.alibaba.com/company_profile.html#top-nav-bar
"Xiamen Th-Sport Co., Ltd.",//th-sport.en.alibaba.com/contactinfo.html,Gold Supplier,11,"golf products,china golf club,golf bags,Golf equipment,golf irons",//th-sport.en.alibaba.com/company_profile.html#top-nav-bar
"Guangzhou 247 International Trading Co., Ltd.",//jandj247.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Iron Nail,Screws,Iron wire,Welding Electrode,Labor Protection products",//jandj247.en.alibaba.com/company_profile.html#top-nav-bar
"Shanghai Anma Industry Co., Ltd.",//anmagroup.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Car cover,Car seat cover,Car sunshade,Car vacuum cleaner,Steering wheel cover",//anmagroup.en.alibaba.com/company_profile.html#top-nav-bar
"Jining Bafang Mining Machinery Group Co., Ltd.",//sdbafang.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Rock Drilling Equipment,Guniting Equipment,Pumping Equipment,Explosion Proof Instrument,Supporting Equipment",//sdbafang.en.alibaba.com/company_profile.html#top-nav-bar
"Yantai Lansheng Electronic Technology Co., Ltd.",//civita.en.alibaba.com/contactinfo.html,Gold Supplier,1,"baking tool,cake tool,Kitchen supplies,Home &amp; Garden,Gourmet DIY",//civita.en.alibaba.com/company_profile.html#top-nav-bar
"Xuzhou Smile Trading Co., Ltd.",//smile-tools.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Measuring Tools,Cutting Tools,Construction Tools,Lights&amp;lighting,Screwdriver",//smile-tools.en.alibaba.com/company_profile.html#top-nav-bar
"Zhongshan Shengchuanbao Environment & Protection Technology Co., Ltd.",//scbao.en.alibaba.com/contactinfo.html,Supplier,1,"Magnetic Driving Pump,Vertical Pump,Plating Filter,Cotton Core",//scbao.en.alibaba.com/company_profile.html#top-nav-bar
JAGDAMBAY ENGG. & WELDING WORKS,//in100275337.trustpass.alibaba.com/contactinfo.html,Gold Supplier,8,"Trailer part,Container lock,Boat part,Tow Bar,Twist Lock",//in100275337.trustpass.alibaba.com/company_profile.html#top-nav-bar
"Yongkang Bright China Imp.& Exp. Co., Ltd.",//ykbrightchina.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Chain saw,Brush Cutter,Airless Paint Sprayer,Airbrush gun,Car washer",//ykbrightchina.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Koves Precision Tools Co., Ltd.",//kovestool.en.alibaba.com/contactinfo.html,Supplier,8,"CNC Tools,CNC Accessories,Carbide Tools,Hardware Tools,Cutting Tools",//kovestool.en.alibaba.com/company_profile.html#top-nav-bar
